member_casual,end_station_name,end_count
casual,Desplaines St & Randolph St,3635
casual,Dayton St & North Ave,3630
casual,Clarendon Ave & Gordon Ter,3621
casual,Aberdeen St & Randolph St,3607
casual,Racine Ave & Fullerton Ave,3560
casual,State St & Harrison St,3539
casual,Clifton Ave & Armitage Ave,3531
casual,Rush St & Hubbard St,3520
casual,Damen Ave & Division St,3500
casual,Calumet Ave & 18th St,3400
casual,Sangamon St & Lake St,3367
casual,Franklin St & Adams St (Temp),3366
casual,Halsted St & Willow St,3322
casual,Halsted St & Maxwell St,3320
casual,Ellis Ave & 55th St,3317
casual,Michigan Ave & 18th St,3317
casual,Paulina Ave & North Ave,3295
casual,Franklin St & Monroe St,3271
casual,Eckhart Park,3266
casual,Ashland Ave & Blackhawk St,3229
casual,Elston Ave & Cortland St,3194
casual,Broadway & Wilson - Truman College Vaccination Site,3190
casual,Aberdeen St & Jackson Blvd,3178
casual,Carpenter St & Huron St,3155
casual,Western Ave & Walton St,3141
casual,Marine Dr & Ainslie St,3133
casual,Ogden Ave & Race Ave,3108
casual,Larrabee St & Armitage Ave,3101
casual,Wells St & Polk St,3064
casual,Racine Ave & Wrightwood Ave,3041
casual,State St & Van Buren St,3039
casual,Canal St & Monroe St,3029
casual,Clark St & Bryn Mawr Ave,3025
casual,Orleans St & Chestnut St (NEXT Apts),2992
casual,Sedgwick St & Huron St,2966
casual,California Ave & Cortez St,2952
casual,Clark St & Leland Ave,2940
casual,Clinton St & Roosevelt Rd,2928
casual,Ada St & Washington Blvd,2919
casual,900 W Harrison St,2885
casual,Wells St & Walton St,2875
casual,Broadway & Argyle St,2862
casual,Canal St & Jackson Blvd,2842
casual,Dearborn St & Adams St,2838
casual,Wabash Ave & 16th St,2833
casual,LaSalle St & Jackson Blvd,2833
casual,Greenview Ave & Diversey Pkwy,2823
casual,Ashland Ave & Grace St,2819
casual,Broadway & Granville Ave,2768
casual,Ashland Ave & Wrightwood Ave,2768
casual,Sangamon St & Washington Blvd,2745
casual,Lincoln Ave & Roscoe St*,2742
casual,Broadway & Thorndale Ave,2741
casual,Damen Ave & Charleston St,2724
casual,Sheridan Rd & Buena Ave,2714
casual,Delano Ct & Roosevelt Rd,2708
casual,Larrabee St & North Ave,2701
casual,Museum of Science and Industry,2700
casual,Lake Park Ave & 53rd St,2696
casual,Loomis St & Lexington St,2677
casual,Cornell Ave & Hyde Park Blvd,2657
casual,Desplaines St & Jackson Blvd,2655
casual,May St & Taylor St,2625
casual,Dearborn St & Van Buren St,2615
casual,Clarendon Ave & Leland Ave,2577
casual,Western Ave & Leland Ave,2568
casual,Calumet Ave & 21st St,2557
casual,Broadway & Berwyn Ave,2555
casual,Noble St & Milwaukee Ave,2543
casual,Walsh Park,2490
casual,Wood St & Chicago Ave,2490
casual,Orleans St & Hubbard St,2488
casual,Halsted St & Polk St,2486
casual,Winthrop Ave & Lawrence Ave,2485
casual,Leavitt St & North Ave,2481
casual,Logan Blvd & Elston Ave,2466
casual,LaSalle St & Washington St,2466
casual,Southport Ave & Irving Park Rd,2464
casual,N Green St & W Lake St,2450
casual,Campbell Ave & North Ave,2448
casual,Damen Ave & Thomas St (Augusta Blvd),2427
casual,Aberdeen St & Monroe St,2420
casual,Racine Ave & 18th St,2416
casual,Blue Island Ave & 18th St,2390
casual,Morgan St & Lake St*,2382
casual,Chicago Ave & Sheridan Rd,2381
casual,Wacker Dr & Washington St,2372
casual,Bissell St & Armitage Ave,2370
casual,Clark St & Montrose Ave,2347
casual,Seeley Ave & Roscoe St,2324
casual,Damen Ave & Wellington Ave,2294
